07/05/2026,13:58:31,200405060006,Deposit,40000.00,,40000.00
07/05/2026,13:58:52,200405060006,Withdraw,5000.00,,35000.00
07/05/2026,14:27:55,200405060003,Deposit (VIP),200000.00,,630000.00
07/05/2026,15:13:59,200405060003,Deposit (VIP),100000.00,,730000.00
07/05/2026,15:18:38,200405060006,Deposit,3000000.00,,3035000.00
07/05/2026,15:19:11,200405060004,Deposit,400000.00,,400000.00
07/05/2026,16:27:35,200405060006,Deposit,250000.00,,3285000.00
07/05/2026,17:03:01,200405060006,Deposit (VIP),20000.00,,3055000.00
07/05/2026,17:03:13,200405060006,Withdraw (VIP),30000.00,,3025000.00
07/05/2026,17:04:20,200405060007,Deposit,4000000.00,,4000000.00
07/05/2026,17:04:25,200405060007,Withdraw,200000.00,,3800000.00
07/05/2026,17:04:28,200405060007,Transfer Out,40000.00,200405060006,3760000.00
07/05/2026,17:04:28,200405060006,Transfer In,40000.00,200405060007,3065000.00
07/05/2026,17:21:02,200405060007,Deposit,3000.00,,3763000.00
07/05/2026,19:23:48,200405060008,Deposit (VIP),2590000.00,,2590000.00
07/05/2026,19:24:48,200405060008,Withdraw (VIP),59000.00,,2531000.00
07/05/2026,19:25:46,200405060008,Transfer Out (VIP),20000.00,200405060006,2511000.00
07/05/2026,19:25:46,200405060006,Transfer In (VIP),20000.00,200405060008,3085000.00
07/05/2026,19:27:59,200405060007,Deposit,30000.00,,3790000.00
